Data;Commodities - petróleo - cotação internacional - US$ - Fundo Monetário Internacional, International Financial Statistics (FMI/IFS) - IFS12_PETROLEUM12;
1957.01;1,92;
1957.02;1,92;
1957.03;1,92;
1957.04;1,92;
1957.05;1,92;
1957.06;2,07;
1957.07;2,07;
1957.08;2,07;
1957.09;2,07;
1957.10;2,07;
1957.11;2,07;
1957.12;2,07;
1958.01;2,07;
1958.02;2,07;
1958.03;2,07;
1958.04;2,07;
1958.05;2,07;
1958.06;2,07;
1958.07;2,07;
1958.08;2,07;
1958.09;2,07;
1958.10;2,07;
1958.11;2,07;
1958.12;2,07;
1959.01;2,07;
1959.02;1,89;
1959.03;1,89;
1959.04;1,89;
1959.05;1,89;
1959.06;1,89;
1959.07;1,89;
1959.08;1,89;
1959.09;1,89;
1959.10;1,89;
1959.11;1,89;
1959.12;1,89;
1960.01;1,89;
1960.02;1,89;
1960.03;1,89;
1960.04;1,89;
1960.05;1,89;
1960.06;1,89;
1960.07;1,89;
1960.08;1,79;
1960.09;1,79;
1960.10;1,79;
1960.11;1,79;
1960.12;1,79;
1961.01;1,79;
1961.02;1,79;
1961.03;1,79;
1961.04;1,79;
1961.05;1,79;
1961.06;1,79;
1961.07;1,79;
1961.08;1,79;
1961.09;1,79;
1961.10;1,79;
1961.11;1,79;
1961.12;1,79;
1962.01;1,79;
1962.02;1,79;
1962.03;1,79;
1962.04;1,79;
1962.05;1,79;
1962.06;1,79;
1962.07;1,79;
1962.08;1,79;
1962.09;1,79;
1962.10;1,79;
1962.11;1,79;
1962.12;1,79;
1963.01;1,79;
1963.02;1,79;
1963.03;1,79;
1963.04;1,79;
1963.05;1,79;
1963.06;1,79;
1963.07;1,79;
1963.08;1,79;
1963.09;1,79;
1963.10;1,79;
1963.11;1,79;
1963.12;1,79;
1964.01;1,79;
1964.02;1,79;
1964.03;1,79;
1964.04;1,79;
1964.05;1,79;
1964.06;1,79;
1964.07;1,79;
1964.08;1,79;
1964.09;1,79;
1964.10;1,79;
1964.11;1,79;
1964.12;1,79;
1965.01;1,79;
1965.02;1,79;
1965.03;1,79;
1965.04;1,79;
1965.05;1,79;
1965.06;1,79;
1965.07;1,79;
1965.08;1,79;
1965.09;1,79;
1965.10;1,79;
1965.11;1,79;
1965.12;1,79;
1966.01;1,79;
1966.02;1,79;
1966.03;1,79;
1966.04;1,79;
1966.05;1,79;
1966.06;1,79;
1966.07;1,79;
1966.08;1,79;
1966.09;1,79;
1966.10;1,79;
1966.11;1,79;
1966.12;1,79;
1967.01;1,79;
1967.02;1,79;
1967.03;1,79;
1967.04;1,79;
1967.05;1,79;
1967.06;1,79;
1967.07;1,79;
1967.08;1,79;
1967.09;1,79;
1967.10;1,79;
1967.11;1,79;
1967.12;1,79;
1968.01;1,79;
1968.02;1,79;
1968.03;1,79;
1968.04;1,79;
1968.05;1,79;
1968.06;1,79;
1968.07;1,79;
1968.08;1,79;
1968.09;1,79;
1968.10;1,79;
1968.11;1,79;
1968.12;1,79;
1969.01;1,79;
1969.02;1,79;
1969.03;1,79;
1969.04;1,79;
1969.05;1,79;
1969.06;1,79;
1969.07;1,79;
1969.08;1,79;
1969.09;1,79;
1969.10;1,79;
1969.11;1,79;
1969.12;1,79;
1970.01;2,18;
1970.02;2,18;
1970.03;2,18;
1970.04;2,18;
1970.05;2,18;
1970.06;2,18;
1970.07;2,18;
1970.08;2,18;
1970.09;2,18;
1970.10;2,18;
1970.11;2,18;
1970.12;2,18;
1971.01;2,29;
1971.02;2,42;
1971.03;2,42;
1971.04;2,73;
1971.05;2,73;
1971.06;2,77;
1971.07;2,76;
1971.08;2,76;
1971.09;2,76;
1971.10;2,75;
1971.11;2,75;
1971.12;2,75;
1972.01;2,82;
1972.02;2,91;
1972.03;2,91;
1972.04;2,9;
1972.05;2,9;
1972.06;2,9;
1972.07;2,89;
1972.08;2,89;
1972.09;2,89;
1972.10;2,89;
1972.11;2,89;
1972.12;2,89;
1973.01;2,99;
1973.02;2,99;
1973.03;2,99;
1973.04;3,12;
1973.05;3,12;
1973.06;3,26;
1973.07;3,34;
1973.08;3,43;
1973.09;3,43;
1973.10;3,42;
1973.11;3,42;
1973.12;3,42;
1974.01;13,43;
1974.02;13,43;
1974.03;13,43;
1974.04;11,41;
1974.05;11,41;
1974.06;11,41;
1974.07;10,62;
1974.08;10,62;
1974.09;10,62;
1974.10;10,93;
1974.11;10,93;
1974.12;10,93;
1975.01;11,17;
1975.02;11,17;
1975.03;11,17;
1975.04;11,17;
1975.05;11,17;
1975.06;11,17;
1975.07;11,17;
1975.08;11,17;
1975.09;11,17;
1975.10;12,3;
1975.11;12,3;
1975.12;12,3;
1976.01;11,41;
1976.02;11,41;
1976.03;11,83;
1976.04;11,47;
1976.05;11,48;
1976.06;11,43;
1976.07;11,43;
1976.08;11,44;
1976.09;11,43;
1976.10;11,44;
1976.11;12,06;
1976.12;11,82;
1977.01;12,45;
1977.02;12,45;
1977.03;12,45;
1977.04;12,45;
1977.05;12,45;
1977.06;12,45;
1977.07;12,61;
1977.08;12,58;
1977.09;12,51;
1977.10;12,55;
1977.11;12,59;
1977.12;12,61;
1978.01;12,59;
1978.02;12,59;
1978.03;12,58;
1978.04;12,51;
1978.05;12,52;
1978.06;12,57;
1978.07;12,58;
1978.08;12,63;
1978.09;12,68;
1978.10;12,81;
1978.11;13,21;
1978.12;14,05;
1979.01;16,09;
1979.02;21,73;
1979.03;20,11;
1979.04;21,28;
1979.05;30,46;
1979.06;35,09;
1979.07;30,34;
1979.08;32,45;
1979.09;34,58;
1979.10;37,4;
1979.11;39,7;
1979.12;38,69;
1980.01;35,64;
1980.02;35,09;
1980.03;36,01;
1980.04;35,09;
1980.05;35,72;
1980.06;35,54;
1980.07;34,33;
1980.08;31,88;
1980.09;31,91;
1980.10;37,25;
1980.11;40,97;
1980.12;39,05;
1981.01;38,69;
1981.02;36,75;
1981.03;36,44;
1981.04;35,7;
1981.05;33,32;
1981.06;31,6;
1981.07;31,63;
1981.08;31,99;
1981.09;31,77;
1981.10;32,61;
1981.11;34,05;
1981.12;33,91;
1982.01;33,81;
1982.02;29,96;
1982.03;28,25;
1982.04;30,44;
1982.05;33,22;
1982.06;32,66;
1982.07;31,49;
1982.08;31,05;
1982.09;32,88;
1982.10;33,23;
1982.11;31,48;
1982.12;30,06;
1983.01;30,44;
1983.02;28,91;
1983.03;28,13;
